ATCLNO,동,PRC,500m_내_마트수,500m_내_버스수,500m_내_경찰수,500m_내_학교수,가장가까운지하철거리
2433887142,상도동,8000,3,39,1,3,0.5788575417778662
2431377625,신림동,9000,3,39,1,3,0.5788575417778662
2433493772,신림동,11000,3,43,1,2,0.5318787131992887
2434561559,신림동,7000,2,41,1,1,0.8742378276419166
2432351765,신림동,17000,1,31,1,3,0.7478381615151459
2433715115,신림동,18000,1,31,2,0,0.5826249825803637
2431393113,신림동,3000,0,29,0,3,0.7024088763854865
2431340500,신림동,15000,0,25,1,3,0.6782230307249189
2431640468,신림동,22000,0,31,0,3,0.7716202755669515
2434483522,신림동,35900,0,35,0,3,0.8318842420799882
2431757325,신림동,25000,0,37,0,3,0.8506986793104918
2431006112,신림동,13000,2,30,2,0,0.3988706873947738
2430920354,신림동,9000,2,30,2,1,0.3834864069032657
2433615439,신림동,9000,2,30,2,1,0.3834864069032657
2433931200,신림동,9000,2,30,2,1,0.3834864069032657
2432190758,신림동,13000,2,30,2,1,0.3969148304813851
2434038800,신림동,13500,2,32,2,1,0.3829360683640955
2434576360,신림동,28000,2,34,2,1,0.3870041544435064
2431751260,신림동,22000,2,32,2,1,0.397543214522733
2433069763,신림동,16000,2,32,2,1,0.3797852054188689
2433069255,신림동,16000,2,32,2,1,0.3797852054188689
2434004973,신림동,23000,2,30,2,1,0.292467187861007
2433978439,신림동,23000,2,30,2,1,0.292467187861007
2430777917,신림동,10000,2,33,2,1,0.2190508264175893
2430777962,신림동,16000,2,33,2,1,0.2190508264175893
2433982871,신림동,12000,2,33,2,1,0.2190508264175893
2433643720,신림동,14000,2,33,2,1,0.1849513234155421
2431359087,신림동,20000,2,33,2,1,0.1849513234155421
2434562900,신림동,31000,2,32,2,0,0.1488444630742575
2433729591,신림동,22000,1,23,0,1,0.518621055122453
2431349009,신림동,18000,2,30,0,1,0.4253030129125192
2433000543,신림동,25200,2,33,0,1,0.3126098372798124
2434472992,신림동,11000,2,31,0,1,0.3192559021662194
2434510444,신림동,15000,2,31,0,1,0.3192559021662194
2431323731,신림동,13000,2,29,0,1,0.3221959991677818
2434020898,신림동,15000,2,31,2,1,0.1987967290635389
2434475124,신림동,16000,2,30,1,0,0.1439196434798747
2430856095,신림동,35000,2,27,1,0,0.1411024786785532
2430855354,신림동,35000,2,27,1,0,0.1411024786785532
2430443583,신림동,35000,2,27,1,0,0.1411024786785532
2430425013,신림동,35000,2,27,1,0,0.1411024786785532
2430405189,신림동,35000,2,27,1,0,0.1411024786785532
2430401588,봉천동,35000,2,27,1,0,0.1411024786785532
2432322959,봉천동,53000,2,24,1,1,1.0255883075936
2432295020,봉천동,35000,2,24,1,1,1.0255883075936
2432904555,봉천동,65000,0,17,1,1,0.3889120782248408
2430561270,봉천동,18000,2,22,0,1,0.3333381624270781
2432527690,봉천동,10000,2,26,0,3,0.3926823396725901
2432240084,봉천동,15000,3,21,0,2,0.6455967944522284
2430594879,봉천동,10000,4,25,0,1,0.4722126024786943
2432320879,봉천동,10000,4,25,0,1,0.4722126024786943
2432975274,봉천동,12000,3,21,0,1,0.4927788239748667
2434390042,봉천동,13000,2,24,0,3,0.2297951624833974
2434041691,봉천동,24000,2,38,1,2,0.7596486561335151
2433641386,봉천동,7000,2,33,1,0,0.7376301658988003
2434519097,봉천동,25000,2,23,0,4,0.422646084485928
2433354711,봉천동,7000,2,27,1,4,0.351689273633606
2432915953,봉천동,8500,2,27,1,4,0.351689273633606
2433093600,봉천동,12000,2,32,2,2,0.5536155700055454
2434515553,봉천동,13000,0,27,0,3,0.7926974063662127
2433698700,봉천동,11000,0,24,0,3,0.6555779082897965
2434472412,봉천동,7000,0,23,0,1,0.7857866754073415
2432261892,봉천동,9000,2,23,0,1,0.2729277728184896
2433583212,신림동,9000,2,26,0,4,0.4322233582046344
2432874911,신림동,9000,2,25,0,4,0.4419702671987953
2433576496,신림동,8000,3,30,1,4,0.5590206850909101
2434413375,신림동,10000,1,27,0,2,0.3529357278355234
2432238331,신림동,13000,1,26,0,3,0.334942836666137
2434001886,신림동,8000,3,41,1,2,0.5001545239077471
2432348947,신림동,10000,2,34,2,2,0.3854221168199527
2431030141,신림동,7200,2,34,2,2,0.3854221168199527
2430885790,신림동,7200,2,34,2,2,0.3886758584242786
2432307037,신림동,12000,2,33,2,2,0.4708486292834621
2432263745,신림동,5000,2,31,2,0,0.5378196693004634
2433978317,신림동,7500,0,9,0,4,1.9600645873716245
2432879416,신림동,38000,0,5,0,1,2.02806415897146
2429568071,신림동,38000,0,5,0,1,2.02806415897146
2432564690,신림동,15000,1,17,1,1,0.7936580407171786
2429674301,신림동,13000,1,23,0,2,0.7408381655803189
2434258051,신림동,18000,1,20,1,1,0.8883751146795504
2429800097,신림동,11000,1,21,1,2,0.9574586169567384
2429681952,신림동,15000,1,19,1,1,0.8762495054625409
2433153885,신림동,15000,1,24,0,2,0.6787984307568085
2432850398,신림동,20000,0,20,0,3,1.075315670408138
2429566282,신림동,11000,0,19,0,3,1.110462087180769
2429688799,상도동,16000,0,16,0,3,1.1472227695456494
2429992856,상도동,8500,0,21,0,1,0.976269498304376
2429688773,상도동,8000,1,11,0,7,1.969304428508183
2432523536,상도동,15000,1,16,0,2,0.3366535184178775
2431270816,상도동,10000,2,29,0,1,0.2868493043159784
2430404819,상도동,10000,2,29,0,1,0.2868493043159784
2434273711,상도동,11000,2,29,0,1,0.2868493043159784
2429703072,상도동,16000,2,31,0,1,0.349902094219705
2431668576,상도동,15000,2,31,0,1,0.349902094219705
2434165564,상도동,30000,2,30,0,1,0.2979276955308253
2434077114,신림동,70000,0,23,0,0,0.4804035557167373
2434347483,신림동,15000,1,18,0,3,0.493166331735043
2434036960,신림동,70000,1,19,0,4,0.2391513488938036
2434732316,신림동,75000,2,27,0,1,0.2841131638525775
2434711107,신림동,73000,1,31,0,1,0.2016956503736132
2433696214,신림동,75000,2,30,0,1,0.3026565046601911
2434533927,신림동,12000,2,27,1,0,0.1606577903836522
2433075275,신림동,10000,2,25,1,1,0.1784807827782276
2433658271,신림동,8000,2,29,0,1,0.2154954161226662
2433657222,신림동,15000,1,30,0,2,0.4840474828837123
2433088623,봉천동,24000,0,28,0,1,0.6083802110553221
2430941351,봉천동,7500,0,24,0,1,0.8215456619298596
2430871619,신림동,5000,0,24,0,1,0.8215456619298596
2433096815,신림동,8000,0,26,0,1,0.6451518826040596
2433645562,신림동,13000,0,26,0,1,0.6575779897283334
2434062248,신림동,12000,0,26,0,1,0.6432421922642829
2433651147,신림동,15500,0,23,0,1,0.6881941457499267
2434456022,신림동,24100,0,19,0,1,0.7215981032698304
2434453706,신림동,24100,0,19,0,1,0.7215981032698304
2433033432,신림동,8000,0,23,0,1,0.6387022842269615
2433681156,신림동,19000,0,26,0,1,0.5813606937870551
2433004011,신림동,10000,0,26,0,1,0.5921062383583383
2432040572,신림동,8000,0,26,0,1,0.6029146046984157
2434513093,신림동,13000,1,26,0,1,0.497851499106703
2434517967,신림동,16000,1,26,0,1,0.4766173318662206
2433883562,신림동,5000,2,24,0,1,0.4236595363880374
2433001453,신림동,7000,2,25,0,1,0.3567485857089876
2431326937,신림동,10000,0,14,0,2,0.5366086557030514
2431218549,신림동,21500,1,27,1,3,0.6808198046674239
2432614558,신림동,21100,1,26,1,3,0.6807935261105859
2434360445,신림동,4000,1,24,0,2,1.7697864189769863
2434466174,신림동,20000,1,30,0,3,1.5576358415241265
2433195455,신림동,30000,0,30,1,5,0.974281829576526
2434312230,신림동,19000,0,17,1,5,0.8844755960618276
2434378581,신림동,7000,2,25,0,4,0.4358240205437492
2434027566,신림동,10000,1,27,0,3,0.4672950849192794
2431339611,신림동,17000,2,23,0,4,0.436815777428431
2433719276,신림동,12000,0,26,0,4,0.5177947225678174
2431350181,신림동,16000,1,26,0,4,0.4956570922006457
2433077091,신림동,9000,0,27,0,1,0.5237677117730024
2432156934,신림동,8000,0,17,0,4,0.7134550633524647
2430936125,신림동,8000,0,17,0,4,0.7134550633524647
2434470699,신림동,14000,0,26,0,3,0.6336046401682461
2434477577,신림동,19000,0,26,0,1,0.6424025757770773
2433715751,신림동,11000,1,24,0,2,0.5169936249260197
2433691825,신림동,16500,1,26,0,2,0.5107773622176209
2434031498,신림동,12000,2,26,1,0,0.1970267109026459
2433624601,신림동,12000,2,27,1,0,0.1987563350438262
2430203858,신림동,10000,0,16,1,1,0.3706911540905415
2433498048,신림동,20000,0,12,0,0,0.271429604744
2433351580,신림동,9450,0,12,0,0,0.2916012888920505
2433615644,신림동,13000,2,26,2,2,0.367190339307877
2433638971,신림동,9000,2,25,2,2,0.3858748099117267
2434382087,신림동,4000,2,29,2,1,0.1812776745142324
2433690470,신림동,9000,0,16,0,2,0.6159558928156746
2432307851,신림동,5000,0,16,0,1,0.6777716882730804
2432860409,신림동,6000,0,16,0,1,0.6777716882730804
2433002650,신림동,26000,0,18,1,2,0.5402221998364792
2433364226,신림동,7500,0,25,1,2,0.4706927456584072
2433585717,신림동,19000,0,29,1,3,0.4459163119291531
2431658145,신림동,25200,0,29,1,2,0.4328758357468355
2433024676,신림동,16000,0,19,1,1,0.3678153153428375
2434470164,신림동,22000,0,27,1,1,0.3110781308882326
2432991411,신림동,19000,0,20,1,5,0.665982691564178
2432991743,신림동,19000,0,20,1,5,0.6553881883223587
2433687640,신림동,11000,0,21,1,5,0.6484750001920545
2430949363,신림동,11000,1,26,1,1,0.2631812648610118
2433620292,신림동,10000,1,26,1,1,0.2631812648610118
2433020863,신림동,12000,1,26,1,1,0.2631812648610118
2432925711,신림동,5000,1,29,2,2,0.5129080571269781
2432133852,신림동,8800,1,25,1,4,0.5667577903530705
2432309759,신림동,21000,1,30,2,1,0.4529618019678608
2432547466,신림동,32000,1,32,2,1,0.3068225517799576
2430622070,신림동,10000,1,22,1,1,0.5796998565266783
2433684336,신림동,24000,0,15,0,0,0.5805992787693014
2433022108,신림동,27700,2,25,0,1,1.5071446853998656
2430975464,신림동,30000,1,14,0,5,2.1146983979119875
2430781751,상도동,23500,2,20,0,1,1.6896066428778629
2433694522,상도동,7000,2,29,2,1,0.1618473589986888
2434550264,상도동,25000,2,23,2,2,0.4292423891165374
2433072976,상도동,24000,2,25,1,2,0.4554081423945888
2434457728,상도동,25000,2,25,1,2,0.4409438438381111
2434071701,상도동,18000,2,25,1,2,0.4343800247390207
2434004413,상도동,26500,0,16,1,2,0.6669425307785868
2430781586,상도동,40000,1,25,1,1,0.908282922916394
2432388363,상도동,69000,1,35,0,1,0.8894326935129335
2432389564,상도동,80000,2,34,0,1,0.7828945696938313
2434243576,상도동,72000,2,34,0,1,0.8230686303493622
2434243285,상도동,72000,2,34,0,1,0.8230686303493622
2434231226,상도동,75000,2,34,0,1,0.7828945696938313
2434180317,상도동,65000,1,33,0,1,0.8627744831454373
2431030707,상도동,65000,1,32,0,1,0.8125937692939331
2430769675,상도동,80000,1,32,0,1,0.9320789089955313
2430761737,상도동,75000,2,34,0,1,0.8230686303493622
2433179417,상도동,65000,2,34,0,1,0.8230686303493622
2433180858,상도동,65000,2,34,0,1,0.8230686303493622
2431644581,상도동,70000,2,34,0,1,0.7828945696938313
2432312205,상도동,80000,1,32,0,1,0.9320789089955313
2432173990,상도동,67000,2,34,0,1,0.8230686303493622
2432015042,상도동,90000,1,32,0,1,0.9320789089955313
2432015842,흑석동,73000,1,33,0,1,0.8627744831454373
2434124286,흑석동,70000,1,36,0,1,0.8524838046847201
2434753603,흑석동,80000,2,34,0,1,0.8230686303493622
2434726347,흑석동,70000,2,34,0,1,0.8230686303493622
2434713381,흑석동,75000,1,35,0,1,0.8894326935129335
2433250354,흑석동,65000,1,36,0,1,0.8524838046847201
2434588547,흑석동,75000,2,34,0,1,0.7828945696938313
2434588119,흑석동,80000,1,33,0,1,0.8627744831454373
2433972070,신림동,78000,2,34,0,1,0.8230686303493622
2434739343,신림동,48000,0,18,0,2,0.8571381443018995
2434757495,신림동,66000,0,17,0,2,0.6148160824249501
2434757698,신림동,100000,1,22,0,2,0.3965025350186091
2432454463,신림동,98000,1,23,0,3,0.2778193257350026
2434755759,남현동,78000,0,17,0,2,0.7763883192609154
2434756493,남현동,95000,0,20,0,3,0.7057363877488534
2434741121,남현동,120000,0,20,0,3,0.7057363877488534
2434741622,남현동,89000,1,28,0,3,0.6951302794045291
2432267358,남현동,135000,1,25,0,3,0.6272963833068683
2434759640,봉천동,120000,1,23,0,1,0.3759608634628972
2434737941,봉천동,110000,1,25,0,1,0.41588767223062
2434709645,봉천동,120000,0,18,0,1,0.4093901182359795
2434708288,봉천동,113000,1,21,0,2,0.2840873837548472
2434514348,봉천동,9000,0,11,0,0,0.3854110761581851
2434577385,봉천동,9700,0,7,0,0,0.5386551261558685
2431016107,봉천동,12000,0,7,0,0,0.574667260186032
2433070990,봉천동,8000,0,7,0,0,0.4600795488525041
2430383237,봉천동,10000,0,7,0,0,0.5302524136793744
2432409448,봉천동,10000,0,7,0,0,0.5302524136793744
2433527639,봉천동,12000,0,7,0,0,0.5479798324085919
2433007076,봉천동,12000,0,7,0,0,0.5479798324085919
2430519699,봉천동,13000,0,20,0,4,1.5025886478015853
2434452479,봉천동,20000,0,7,0,2,1.9001969175499256
2434574279,봉천동,20000,0,7,0,2,1.9001969175499256
2430417833,신림동,33000,0,5,0,1,2.02806415897146
2431037159,신림동,17000,1,21,1,2,0.8748428513220762
2433349245,신림동,13000,1,21,1,1,0.9448780124609072
2433026864,신림동,8000,1,21,1,2,0.9574586169567384
2433728448,신림동,16000,1,21,0,1,0.8583205183932723
2430894229,신림동,14000,1,22,0,1,0.9104677095413368
2433090561,신림동,20000,1,23,0,1,0.9069591132312886
2433666253,신림동,10000,1,24,0,2,0.6904382068699824
2434513887,신림동,30000,0,11,0,4,0.6797408826468017
2432310926,신림동,7000,1,32,0,4,1.2118987134099863
